,popularity,original_title,director,runtime,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,net_adj,action,science_fiction,thriller,crime,family,drama,tv_movie,animation,mystery,adventure,war,music,foreign,comedy,horror,documentary,fantasy,western,romance,no_genre,history,release_day,holiday,release_year_groups
19,5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,"Studio Babelsberg,StudioCanal,Lionsgate,Walt Disney Studios Motion Pictures,Color Force",2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232,451281354.276204,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
20,5.462138,Tomorrowland,Brad Bird,130,"Walt Disney Pictures,Babieka,A113",2015-05-19,1899,6.2,2015,174799923.088033,192312729.942398,17512806.85436502,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
21,5.337064,Southpaw,Antoine Fuqua,123,"Escape Artists,Riche-Ludwig Productions",2015-06-15,1386,7.3,2015,27599987.8560053,84373003.7158783,56773015.859873,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,False,"(2010.0, 2015.0]"
22,4.907832,San Andreas,Brad Peyton,114,"New Line Cinema,Village Roadshow Pictures,Warner Bros.,Flynn Picture Company",2015-05-27,2060,6.1,2015,101199955.472019,432851374.985395,331651419.513376,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
23,4.71040199999999,Fifty Shades of Grey,Sam Taylor-Johnson,125,"Focus Features,Trigger Street Productions,Michael De Luca Productions",2015-02-11,1865,5.3,2015,36799983.8080071,524079119.045187,487279135.2371799,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wednesday,False,"(2010.0, 2015.0]"
24,4.648046,The Big Short,Adam McKay,130,"Paramount Pictures,Plan B Entertainment,Regency Enterprises",2015-12-11,1545,7.3,2015,25759988.6656049,122678731.541358,96918742.87575309,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
25,4.566713,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,"Paramount Pictures,Skydance Productions,China Movie Channel,Bad Robot,TC Productions",2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881,489743512.39285505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
26,4.564549,Ted 2,Seth MacFarlane,115,"Universal Pictures,Media Rights Capital,Fuzzy Door Productions",2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845,136034457.6648379,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
27,4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,"Twentieth Century Fox Film Corporation,Marv Films,TSG Entertainment,Cloudy Productions",2015-01-24,3833,7.6,2015,74519967.2112144,371497801.660967,296977834.44975257,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Saturday,False,"(2010.0, 2015.0]"
28,4.062293,Spotlight,Tom McCarthy,128,"Participant Media,Open Road Films,Anonymous Content,Rocklin / Faust,Entertainment One Features",2015-11-06,1559,7.8,2015,18399991.9040035,81278719.3973634,62878727.49335989,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Friday,False,"(2010.0, 2015.0]"
29,3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,"Gotham Group,Temple Hill Entertainment,TSG Entertainment",2015-09-09,1849,6.4,2015,56119975.3072108,286356245.923251,230236270.61604017,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
30,3.927333,Mr. Holmes,Bill Condon,103,"BBC Films,See-Saw Films,FilmNation Entertainment,Archer Gray,AI-Film",2015-06-19,425,6.4,2015,0.0,27006774.877019,27006774.877019,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
31,3.899557,Chappie,Neill Blomkamp,120,"Columbia Pictures,Media Rights Capital,Sony Pictures Entertainment (SPE),Alpha Core,Genre Films",2015-03-04,1990,6.6,2015,45079980.1648087,93903685.2423785,48823705.077569805,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
32,3.877764,Pitch Perfect 2,Elizabeth Banks,115,"Universal Pictures,Gold Circle Films,Brownstone Productions",2015-05-07,1264,6.8,2015,26679988.2608051,264505582.097543,237825593.8367379,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
33,3.64821,Bridge of Spies,Steven Spielberg,141,"DreamWorks SKG,Amblin Entertainment,Studio Babelsberg,Fox 2000 Pictures,Marc Platt Productions",2015-10-15,1638,7.1,2015,36799983.8080071,149601569.335309,112801585.52730191,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
34,3.644541,Goosebumps,Rob Letterman,103,"Columbia Pictures,Original Film,Scholastic Entertainment",2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088,84797112.4892697,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
35,3.557846,Room,Lenny Abrahamson,117,"Element Pictures,No Trace Camping,A24,Duperele Films",2015-10-16,1520,8.0,2015,5519997.57120106,32569603.0293746,27049605.45817354,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
36,3.358321,Solace,Afonso Poyart,101,"Eden Rock Media,FilmNation Entertainment,Flynn Picture Company",2015-09-03,474,6.2,2015,0.0,20566197.1908732,20566197.1908732,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
37,3.339135,The Good Dinosaur,Peter Sohn,93,"Walt Disney Pictures,Pixar Animation Studios,Buena Vista",2015-11-14,1087,6.6,2015,160999929.160031,305371920.876354,144371991.716323,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,Saturday,False,"(2010.0, 2015.0]"
38,3.23737,Run All Night,Jaume Collet-Serra,114,"Vertigo Entertainment,Energy Entertainment,RatPac-Dune Entertainment",2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592,19836703.7518503,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
39,3.227329,Brooklyn,John Crowley,111,"Wildgaze Films,Irish Film Board,Item 7,Parallel Film Productions",2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891,46990029.0443872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wednesday,False,"(2010.0, 2015.0]"
40,3.202719,Straight Outta Compton,F. Gary Gray,147,"New Line Cinema,Universal Pictures,Legendary Pictures,Cube Vision,Broken Chair Flickz",2015-08-13,918,7.7,2015,25759988.6656049,185504110.098191,159744121.4325861,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
41,3.080505,The Last Witch Hunter,Breck Eisner,106,"Summit Entertainment,Atmosphere Entertainment MM,One Race Films,Goldmann Pictures,NeoReel",2015-10-21,879,5.6,2015,82799963.568016,129164861.167461,46364897.599445,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
42,3.079522,Steve Jobs,Danny Boyle,122,"Universal Pictures,Scott Rudin Productions,Legendary Pictures,The Mark Gordon Company,Management 360",2015-10-09,1035,6.9,2015,27599987.8560053,31686509.2179359,4086521.3619306013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Friday,False,"(2010.0, 2015.0]"
43,3.053421,The Man from U.N.C.L.E.,Guy Ritchie,116,"Davis Entertainment,Warner Bros.,Wigram Productions,RatPac-Dune Entertainment",2015-08-13,1548,7.0,2015,68999969.6400133,99493456.5028791,30493486.86286579,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
44,3.025852,The Age of Adaline,Lee Toland Krieger,112,"Lakeshore Entertainment,Sidney Kimmel Entertainment,Sierra/Affinity",2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742,16219386.783469804,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Thursday,False,"(2010.0, 2015.0]"
45,3.023253,Hardcore Henry,Ilya Naishuller,97,"Bazelevs Production,Versus Pictures",2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843,3987085.0456825197,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday,False,"(2010.0, 2015.0]"
46,2.976436,Home,Tim Johnson,94,"Twentieth Century Fox Film Corporation,DreamWorks Animation",2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082,215161231.769058,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
47,2.968254,Paper Towns,Jake Schreier,109,Fox 2000 Pictures,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.3846362,67631286.2422341,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Thursday,False,"(2010.0, 2015.0]"
48,2.93234,Wild Card,Simon West,92,"Current Entertainment,Lionsgate,Sierra / Affinity,SJ Heat Productions,Silver State Production Services",2015-01-14,481,5.3,2015,27599987.8560053,0.0,-27599987.8560053,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
49,2.885126,The Lobster,Yorgos Lanthimos,118,"Haut et Court,Eurimages,Lemming Film,Element Pictures,Nederlands Fonds voor de Film",2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756,4659348.06988685,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Thursday,False,"(2010.0, 2015.0]"
50,2.883233,Carol,Todd Haynes,118,"Killer Films,Film4,Number 9 Films",2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469,26194352.6744848,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Friday,False,"(2010.0, 2015.0]"
51,2.814802,The Intern,Nancy Meyers,121,"Waverly Films,Warner Bros.",2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255,146799433.6482488,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
52,2.798017,Everest,Baltasar KormÃ¡kur,121,"Universal Pictures,Working Title Films,Walden Media,Cross Creek Pictures,Free State Pictures",2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255,136553317.1965402,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
53,2.793297,Joy,David O. Russell,124,"Fox 2000 Pictures,Davis Entertainment,Annapurna Pictures,TSG Entertainment",2015-12-24,1001,6.4,2015,55199975.7120106,93043293.3409509,37843317.62894031,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
54,2.614499,Point Break,Ericson Core,114,"Studio Babelsberg,Alcon Entertainment,DMG Entertainment,Ehman Productions",2015-12-03,505,5.5,2015,96599957.4960187,123021159.990689,26421202.4946703,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
55,2.584264,Burnt,John Wells,100,"Double Feature Films,PeaPie Films,3 Arts Entertainment",2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969,15278196.837593399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
56,2.578919,Self/less,Tarsem Singh,116,"Endgame Entertainment,Ram Bergman Productions",2015-07-10,719,6.2,2015,23919989.4752046,28081355.5642035,4161366.0889989026,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
57,2.575711,Mortdecai,David Koepp,106,"Lionsgate,Mad Chance,OddLot Entertainment,Huayi Brothers Media",2015-01-21,696,5.3,2015,55199975.7120106,27985062.8865723,-27214912.8254383,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
58,2.557859,The Danish Girl,Tom Hooper,120,"Pretty Pictures,Working Title Films,ArtÃ©mis Productions,Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique,Taxshelter. be",2015-11-27,867,7.3,2015,13799993.9280026,59056175.1752829,45256181.2472803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
59,2.550747,Blackhat,Michael Mann,133,"Universal Pictures,Forward Pass,Legendary Pictures",2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613,-48067274.0503994,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
60,2.487849,Sicario,Denis Villeneuve,121,"Lionsgate,Thunder Road Pictures,Black Label Media",2015-09-17,1479,7.1,2015,27599987.8560053,77303716.7063646,49703728.850359306,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
61,2.487042,Fantastic Four,Josh Trank,100,"Twentieth Century Fox Film Corporation,Marv Films,Marvel Entertainment,Constantin Film.,Moving Picture Company (MPC)",2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699,44139367.978679016,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
62,2.46449,The Witch,Robert Eggers,92,"Parts and Labor,RT Features,Rooks Nest Entertainment,Maiden Voyage Pictures,Pulse Films",2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942,33970014.45319358,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Tuesday,False,"(2010.0, 2015.0]"
63,2.404473,Spy,Paul Feig,120,"Twentieth Century Fox Film Corporation,Chernin Entertainment,Feigco Entertainment",2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356,157012852.3943445,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
64,2.395366,Focus,Glenn Ficarra|John Requa,105,"Kramer & Sigman Films,RatPac-Dune Entertainment,Zaftig Films",2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582,95553883.9162911,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Wednesday,False,"(2010.0, 2015.0]"
65,2.354654,Hitman: Agent 47,Aleksander Bach,96,"Twentieth Century Fox Film Corporation,Fox International Productions,Infinite Frameworks Studios,TSG Entertainment",2015-08-20,820,5.5,2015,32199985.8320062,75759810.1856835,43559824.3536773,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
66,2.345821,In the Heart of the Sea,Ron Howard,122,"Imagine Entertainment,Spring Creek Productions,Warner Bros.,Roth Films,K. JAM Media",2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738,-5684900.13864401,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Friday,False,"(2010.0, 2015.0]"
67,2.331636,Survivor,James McTeigue,96,"Nu Image Films,Winkler Films,Millennium Films,Survivor Productions",2015-05-21,280,5.4,2015,18399991.9040035,0.0,-18399991.9040035,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
68,2.331567,Creed,Ryan Coogler,133,"New Line Cinema,Warner Bros.,Metro-Goldwyn-Mayer (MGM),Chartoff-Winkler Productions",2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707,94700679.9717008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
69,2.31767,Trainwreck,Judd Apatow,125,"Universal Pictures,Fuji Television Network,Dentsu,Apatow Productions",2015-07-17,849,6.1,2015,32199985.8320062,129532072.565888,97332086.7338818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
70,2.29573,Eye in the Sky,Gavin Hood,102,"Entertainment One,Moonlighting Films,Raindog Films",2015-09-11,265,7.2,2015,11959994.7376023,30220316.9030605,18260322.165458202,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
71,2.28135,Legend,Brian Helgeland,131,"Working Title Films,Cross Creek Pictures,Anton Capital Entertainment (ACE)",2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396,16535147.204535201,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
72,2.272044,Beyond the Reach,Jean-Baptiste LÃ©onetti,95,Furthur Films,2015-04-17,81,5.5,2015,0.0,42223.3814217121,42223.3814217121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
73,2.234573,Pan,Joe Wright,111,"Warner Bros.,Moving Picture Company (MPC),Berlanti Productions,RatPac-Dune Entertainment",2015-09-24,586,5.9,2015,137999939.280026,118117202.42843,-19882736.851595983,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
74,2.165433,Mythica: The Darkspore,Anne K. Black,108,Arrowstorm Entertainment,2015-06-24,27,5.1,2015,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
75,2.141506,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,105,Indian Paintbrush,2015-06-12,569,7.7,2015,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
76,2.140199,The Peanuts Movie,Steve Martino,88,"Blue Sky Studios,Twentieth Century Fox Animation,Feigco Entertainment",2015-11-05,414,6.4,2015,91079959.9248176,226534364.284879,135454404.3600614,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
77,2.121884,Concussion,Peter Landesman,123,"Village Roadshow Pictures,Scott Free Productions,LStar Capital,The Cantillon Company,The Shuman Company",2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867,12533680.7251805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
78,2.096273,The Night Before,Jonathan Levine,100,"Sony Pictures,Point Grey Pictures,Good Universe",2015-11-20,363,6.1,2015,22999989.8800044,48204295.1101101,25204305.230105698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
79,2.080935,Knock Knock,Eli Roth,99,"Universum Film (UFA),Dragonfly Entertainment,Black Bear Pictures,Square One Entertainment,Sobras International Pictures",2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632,2496918.4613558804,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Friday,False,"(2010.0, 2015.0]"
80,2.070708,The Longest Ride,"George Tillman, Jr.",128,"Fox 2000 Pictures,Temple Hill Entertainment",2015-04-09,711,7.3,2015,31279986.236806,57972193.012235,26692206.775429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Thursday,False,"(2010.0, 2015.0]"
81,2.060162,Hotel Transylvania 2,Genndy Tartakovsky,89,"Columbia Pictures,Sony Pictures Animation",2015-09-21,919,6.8,2015,73599967.6160142,428888671.768984,355288704.15296984,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Monday,False,"(2010.0, 2015.0]"
82,2.055572,Love the Coopers,Jessie Nelson,107,"Imagine Entertainment,Groundswell Productions,CBS Films",2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042,6439997.166401198,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Thursday,False,"(2010.0, 2015.0]"
83,2.049886,The Walk,Robert Zemeckis,123,"TriStar Pictures,Sony Pictures Entertainment,ImageMovers",2015-09-30,706,6.8,2015,32199985.8320062,56287361.8735607,24087376.041554496,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wednesday,False,"(2010.0, 2015.0]"
